,Total_floor,Curent_floor,Price,TotalSq,LiveSq,KichSq,RoomSq,new_or_not,house_type,pass_elevator,gruz_elevator,balkon,lodgya,visokiy_potolok,sovmest_sanuz,razdeln_sanuz,exist_sanuz,do_metro_peshkom,do_metro_mashina,past_year,future_year,latitude,longitude,sell_type,phone,status_doma,repair,parking,view_window,otdelka,metro_name
33,14,3,2200000.0,42.0,18.0,11.5,18,вторичка,монолитный,1,1,0,1,,1.0,,,,,1998.0,,55.597719,37.198383,свободная,,,отсутствует,,улица,,
34,17,1,2200000.0,17.0,14.0,,,вторичка,,1,1,0,0,2.64,1.0,,,6.0,,,,55.85531,37.362433,свободная,нет,,отсутствует,наземная,улица,,"Пятницкое шоссе,"
35,4,3,2200000.0,31.5,21.3,8.0,21.3,новостройка,,0,0,1,0,,1.0,,,,20.0,1996.0,['2017'],55.552113,37.339166,переуступка,,,,,двор,,"Теплый Стан,"
36,2,1,2200000.0,42.0,15.0,12.0,15,вторичка,блочный,0,0,0,0,2.6,1.0,,,,,,,55.704174,37.926144,свободная,,,косметический,наземная,двор,,"Выхино,"
37,18,12,2217106.0,20.7,12.5,,12.47,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,2015.0,['2018'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
38,24,1,2240000.0,22.4,,,,новостройка,кирпично-монолитный,2,1,0,0,,1.0,,,,15.0,,['2017'],55.57668,37.481457,свободная,,,,,двор,,"Теплый Стан,"
39,18,16,2241470.0,22.6,15.8,,15.81,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,,['2018'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
40,18,2,2308800.0,22.2,14.3,,14.26,новостройка,монолитный,1,1,1,0,,1.0,,,,30.0,,['2018'],55.966409,37.150548,свободная,,,,,двор,,"Пятницкое шоссе,"
41,8,2,2350000.0,28.8,17.0,10.0,17.1,новостройка,кирпичный,1,1,0,1,,1.0,,,,20.0,,['2017'],55.519412,37.395328,переуступка,,,,,двор,,"Теплый Стан,"
42,4,4,2350000.0,32.0,20.0,5.0,25,новостройка,панельный дом,1,0,1,0,,,,нет,,15.0,,['2018'],55.552113,37.339166,214-ФЗ,,,,наземная,двор,,"Саларьево,"
